#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 47402009   3   6   t   24       8          8              1      HO    -8     9      4
 4740200A   3   6   t   24       8          8              2      HO    -8    10      4
 47403C06   3   6   b   24       9          1              0      HO   -15     6      4
 47403C07   3   6   b   24       9          1              1      HO   -15     7      4
 47403C05   3   6   b   24       9          1              2      HO   -15     5      4
 47403805   3   6   b   24       9          2              0      HO   -14     5      4
 47403806   3   6   b   24       9          2              1      HO   -14     6      4
 47403807   3   6   b   24       9          2              2      HO   -14     7      4
 47403406   3   6   b   24       9          3              0      HO   -13     6      4
 47403407   3   6   b   24       9          3              1      HO   -13     7      4
 47403405   3   6   b   24       9          3              2      HO   -13     5      4
 47403005   3   6   b   24       9          4              0      HO   -12     5      4
 47403006   3   6   b   24       9          4              1      HO   -12     6      4
 47403007   3   6   b   24       9          4              2      HO   -12     7      4
 47402C06   3   6   b   24       9          5              0      HO   -11     6      4
 47402C07   3   6   b   24       9          5              1      HO   -11     7      4
 47402C05   3   6   b   24       9          5              2      HO   -11     5      4
 47402805   3   6   b   24       9          6              0      HO   -10     5      4
 47402806   3   6   b   24       9          6              1      HO   -10     6      4
 47402807   3   6   b   24       9          6              2      HO   -10     7      4
 47402406   3   6   b   24       9          7              0      HO    -9     6      4
 47402407   3   6   b   24       9          7              1      HO    -9     7      4
 47402405   3   6   b   24       9          7              2      HO    -9     5      4
 47402005   3   6   b   24       9          8              0      HO    -8     5      4
 47402006   3   6   b   24       9          8              1      HO    -8     6      4
 47402007   3   6   b   24       9          8              2      HO    -8     7      4
 47401C09   3   7   t   24      10          1              0      HO    -7     9      4
 47401C0A   3   7   t   24      10          1              1      HO    -7    10      4
 47401C08   3   7   t   24      10          1              2      HO    -7     8      4
 47401808   3   7   t   24      10          2              0      HO    -6     8      4
 47401809   3   7   t   24      10          2              1      HO    -6     9      4
 4740180A   3   7   t   24      10          2              2      HO    -6    10      4
 47401409   3   7   t   24      10          3              0      HO    -5     9      4
 4740140A   3   7   t   24      10          3              1      HO    -5    10      4
 47401408   3   7   t   24      10          3              2      HO    -5     8      4
 47480C09   3   7   t   24      10          4              0      HO     3     9      4
 47480C0A   3   7   t   24      10          4              1      HO     3    10      4
 47480809   3   7   t   24      10          4              2      HO     2     9      4
 4748040A   3   7   t   24      10          5              0      HO     1    10      4
 4748080A   3   7   t   24      10          5              1      HO     2    10      4
 4740080A   3   7   t   24      10          5              2      HO    -2    10      4
 47480409   3   7   t   24      10          6              0      HO     1     9      4
 47400809   3   7   t   24      10          6              1      HO    -2     9      4
 4E24020A   3   7   t   24      10          6              2     HOX    -4    10   -999
 47480C07   3   7   t   24      10          7              0      HO     3     7      4
 47480C08   3   7   t   24      10          7              1      HO     3     8      4
 47480807   3   7   t   24      10          7              2      HO     2     7      4
 47480408   3   7   t   24      10          8              0      HO     1     8      4
 47480808   3   7   t   24      10          8              1      HO     2     8      4
 47400808   3   7   t   24      10          8              2      HO    -2     8      4
 47401C06   3   7   b   24      11          1              0      HO    -7     6      4
 47401C07   3   7   b   24      11          1              1      HO    -7     7      4
 47401C05   3   7   b   24      11          1              2      HO    -7     5      4
 47401805   3   7   b   24      11          2              0      HO    -6     5      4
 47401806   3   7   b   24      11          2              1      HO    -6     6      4
 47401807   3   7   b   24      11          2              2      HO    -6     7      4
 47401406   3   7   b   24      11          3              0      HO    -5     6      4
 47401407   3   7   b   24      11          3              1      HO    -5     7      4
 47401405   3   7   b   24      11          3              2      HO    -5     5      4
 47480407   3   7   b   24      11          4              0      HO     1     7      4
 47400807   3   7   b   24      11          4              1      HO    -2     7      4
 4E240208   3   7   b   24      11          4              2     HOX    -4     8   -999
 47480C05   3   7   b   24      11          5              0      HO     3     5      4
 47480C06   3   7   b   24      11          5              1      HO     3     6      4
 47480805   3   7   b   24      11          5              2      HO     2     5      4
 47480406   3   7   b   24      11          6              0      HO     1     6      4
 47480806   3   7   b   24      11          6              1      HO     2     6      4
 47400806   3   7   b   24      11          6              2      HO    -2     6      4
 47480405   3   7   b   24      11          7              0      HO     1     5      4
 47400805   3   7   b   24      11          7              1      HO    -2     5      4
 4E240206   3   7   b   24      11          7              2     HOX    -4     6   -999
 4E240788   3   7   b   24      11          8              0     HOX   -15     8   -999
 4E240789   3   7   b   24      11          8              1     HOX   -15     9   -999
 4E24078A   3   7   b   24      11          8              2     HOX   -15    10   -999
 47481C09   3  13   t   25       0          1              0      HO     7     9      4
 47481C0A   3  13   t   25       0          1              1      HO     7    10      4
 47481C08   3  13   t   25       0          1              2      HO     7     8      4
 47481808   3  13   t   25       0          2              0      HO     6     8      4
 47481809   3  13   t   25       0          2              1      HO     6     9      4
 4748180A   3  13   t   25       0          2              2      HO     6    10      4
 47481409   3  13   t   25       0          3              0      HO     5     9      4
 4748140A   3  13   t   25       0          3              1      HO     5    10      4
 47481408   3  13   t   25       0          3              2      HO     5     8      4
 47481009   3  13   t   25       0          4              0      HO     4     9      4
 4E240A0A   3  13   t   25       0          4              1     HOX     4    10   -999
 4748100A   3  13   t   25       0          4              2      HO     4    10      4
 47481007   3  13   t   25       0          5              0      HO     4     7      4
 4E240A08   3  13   t   25       0          5              1     HOX     4     8   -999
 47481008   3  13   t   25       0          5              2      HO     4     8      4
 47481005   3  13   t   25       0          6              0      HO     4     5      4
 4E240A06   3  13   t   25       0          6              1     HOX     4     6   -999
 47481006   3  13   t   25       0          6              2      HO     4     6      4
 47400C0A   3  13   t   25       0          7              0      HO    -3    10      4
 4740040A   3  13   t   25       0          7              1      HO    -1    10      4
 4740100A   3  13   t   25       0          7              2      HO    -4    10      4
 47400409   3  13   t   25       0          8              0      HO    -1     9      4
 47400C09   3  13   t   25       0          8              1      HO    -3     9      4
 47401009   3  13   t   25       0          8              2      HO    -4     9      4
 47481C06   3  13   b   25       1          1              0      HO     7     6      4
 47481C07   3  13   b   25       1          1              1      HO     7     7      4
 47481C05   3  13   b   25       1          1              2      HO     7     5      4
 47481805   3  13   b   25       1          2              0      HO     6     5      4
 47481806   3  13   b   25       1          2              1      HO     6     6      4
 47481807   3  13   b   25       1          2              2      HO     6     7      4
 47481406   3  13   b   25       1          3              0      HO     5     6      4
 47481407   3  13   b   25       1          3              1      HO     5     7      4
 47481405   3  13   b   25       1          3              2      HO     5     5      4
 47400C08   3  13   b   25       1          4              0      HO    -3     8      4
 47400408   3  13   b   25       1          4              1      HO    -1     8      4
 47401008   3  13   b   25       1          4              2      HO    -4     8      4
 47400407   3  13   b   25       1          5              0      HO    -1     7      4
 47400C07   3  13   b   25       1          5              1      HO    -3     7      4
 47401007   3  13   b   25       1          5              2      HO    -4     7      4
 47400C06   3  13   b   25       1          6              0      HO    -3     6      4
 47400406   3  13   b   25       1          6              1      HO    -1     6      4
 47401006   3  13   b   25       1          6              2      HO    -4     6      4
 47400405   3  13   b   25       1          7              0      HO    -1     5      4
 47400C05   3  13   b   25       1          7              1      HO    -3     5      4
 47401005   3  13   b   25       1          7              2      HO    -4     5      4
 4E240785   3  13   b   25       1          8              0     HOX   -15     5   -999
 4E240786   3  13   b   25       1          8              1     HOX   -15     6   -999
 4E240787   3  13   b   25       1          8              2     HOX   -15     7   -999
 47483C09   3  14   t   25       2          1              0      HO    15     9      4
 47483C0A   3  14   t   25       2          1              1      HO    15    10      4
 47483C08   3  14   t   25       2          1              2      HO    15     8      4
 47483808   3  14   t   25       2          2              0      HO    14     8      4
 47483809   3  14   t   25       2          2              1      HO    14     9      4
 4748380A   3  14   t   25       2          2              2      HO    14    10      4
 47483409   3  14   t   25       2          3              0      HO    13     9      4
 4748340A   3  14   t   25       2          3              1      HO    13    10      4
 47483408   3  14   t   25       2          3              2      HO    13     8      4
 47483008   3  14   t   25       2          4              0      HO    12     8      4
 47483009   3  14   t   25       2          4              1      HO    12     9      4
 4748300A   3  14   t   25       2          4              2      HO    12    10      4
 47482C09   3  14   t   25       2          5              0      HO    11     9      4
 47482C0A   3  14   t   25       2          5              1      HO    11    10      4
 47482C08   3  14   t   25       2          5              2      HO    11     8      4
 47482808   3  14   t   25       2          6              0      HO    10     8      4
 47482809   3  14   t   25       2          6              1      HO    10     9      4
 4748280A   3  14   t   25       2          6              2      HO    10    10      4
 47482409   3  14   t   25       2          7              0      HO     9     9      4
 4748240A   3  14   t   25       2          7              1      HO     9    10      4
 47482408   3  14   t   25       2          7              2      HO     9     8      4
 47482008   3  14   t   25       2          8              0      HO     8     8      4
 47482009   3  14   t   25       2          8              1      HO     8     9      4
 4748200A   3  14   t   25       2          8              2      HO     8    10      4
 47483C06   3  14   b   25       3          1              0      HO    15     6      4
 47483C07   3  14   b   25       3          1              1      HO    15     7      4
 47483C05   3  14   b   25       3          1              2      HO    15     5      4
 47483805   3  14   b   25       3          2              0      HO    14     5      4
 47483806   3  14   b   25       3          2              1      HO    14     6      4
 47483807   3  14   b   25       3          2              2      HO    14     7      4
 47483406   3  14   b   25       3          3              0      HO    13     6      4
 47483407   3  14   b   25       3          3              1      HO    13     7      4
 47483405   3  14   b   25       3          3              2      HO    13     5      4
 47483005   3  14   b   25       3          4              0      HO    12     5      4
 47483006   3  14   b   25       3          4              1      HO    12     6      4
 47483007   3  14   b   25       3          4              2      HO    12     7      4
 47482C06   3  14   b   25       3          5              0      HO    11     6      4
 47482C07   3  14   b   25       3          5              1      HO    11     7      4
 47482C05   3  14   b   25       3          5              2      HO    11     5      4
 47482805   3  14   b   25       3          6              0      HO    10     5      4
 47482806   3  14   b   25       3          6              1      HO    10     6      4
 47482807   3  14   b   25       3          6              2      HO    10     7      4
 47482406   3  14   b   25       3          7              0      HO     9     6      4
 47482407   3  14   b   25       3          7              1      HO     9     7      4
 47482405   3  14   b   25       3          7              2      HO     9     5      4
 47482005   3  14   b   25       3          8              0      HO     8     5      4
 47482006   3  14   b   25       3          8              1      HO     8     6      4
 47482007   3  14   b   25       3          8              2      HO     8     7      4
 47403C0F   3  15   t   25       4          1              0      HO   -15    15      4
 47403C0E   3  15   t   25       4          1              1      HO   -15    14      4
 47403C10   3  15   t   25       4          1              2      HO   -15    16      4
 47403810   3  15   t   25       4          2              0      HO   -14    16      4
 4740380F   3  15   t   25       4          2              1      HO   -14    15      4
 4740380E   3  15   t   25       4          2              2      HO   -14    14      4
 4740340F   3  15   t   25       4          3              0      HO   -13    15      4
 4740340E   3  15   t   25       4          3              1      HO   -13    14      4
 47403410   3  15   t   25       4          3              2      HO   -13    16      4
 47403010   3  15   t   25       4          4              0      HO   -12    16      4
 4740300F   3  15   t   25       4          4              1      HO   -12    15      4
 4740300E   3  15   t   25       4          4              2      HO   -12    14      4
 47402C0F   3  15   t   25       4          5              0      HO   -11    15      4
 47402C0E   3  15   t   25       4          5              1      HO   -11    14      4
 47402C10   3  15   t   25       4          5              2      HO   -11    16      4
 47402810   3  15   t   25       4          6              0      HO   -10    16      4
 4740280F   3  15   t   25       4          6              1      HO   -10    15      4
 4740280E   3  15   t   25       4          6              2      HO   -10    14      4
 4740240F   3  15   t   25       4          7              0      HO    -9    15      4
