New HCAL QIETypes set
#             eta             phi             dep             det    value      DetId
              -10              14               1              HB               0   4310280E
              -11              14               1              HB               0   43102C0E
              -12              14               1              HB               0   4310300E
              -13              14               1              HB               0   4310340E
              -14              14               1              HB               0   4310380E
              -15              14               1              HB               0   43103C0E
              -15              14               2              HB               0   43203C0E
              -16              14               1              HB               0   4310400E
              -16              14               2              HB               0   4320400E
               -1              15               1              HB               0   4310040F
               -2              15               1              HB               0   4310080F
               -3              15               1              HB               0   43100C0F
               -4              15               1              HB               0   4310100F
               -5              15               1              HB               0   4310140F
               -6              15               1              HB               0   4310180F
               -7              15               1              HB               0   43101C0F
               -8              15               1              HB               0   4310200F
               -9              15               1              HB               0   4310240F
              -10              15               1              HB               0   4310280F
              -11              15               1              HB               0   43102C0F
              -12              15               1              HB               0   4310300F
              -13              15               1              HB               0   4310340F
              -14              15               1              HB               0   4310380F
              -15              15               1              HB               0   43103C0F
              -15              15               2              HB               0   43203C0F
              -16              15               1              HB               0   4310400F
              -16              15               2              HB               0   4320400F
               -1              16               1              HB               0   43100410
               -2              16               1              HB               0   43100810
               -3              16               1              HB               0   43100C10
               -4              16               1              HB               0   43101010
               -5              16               1              HB               0   43101410
               -6              16               1              HB               0   43101810
               -7              16               1              HB               0   43101C10
               -8              16               1              HB               0   43102010
               -9              16               1              HB               0   43102410
              -10              16               1              HB               0   43102810
              -11              16               1              HB               0   43102C10
              -12              16               1              HB               0   43103010
              -13              16               1              HB               0   43103410
              -14              16               1              HB               0   43103810
              -15              16               1              HB               0   43103C10
              -15              16               2              HB               0   43203C10
              -16              16               1              HB               0   43104010
              -16              16               2              HB               0   43204010
               -1              17               1              HB               0   43100411
               -2              17               1              HB               0   43100811
               -3              17               1              HB               0   43100C11
               -4              17               1              HB               0   43101011
               -5              17               1              HB               0   43101411
               -6              17               1              HB               0   43101811
               -7              17               1              HB               0   43101C11
               -8              17               1              HB               0   43102011
               -9              17               1              HB               0   43102411
              -10              17               1              HB               0   43102811
              -11              17               1              HB               0   43102C11
              -12              17               1              HB               0   43103011
              -13              17               1              HB               0   43103411
              -14              17               1              HB               0   43103811
              -15              17               1              HB               0   43103C11
              -15              17               2              HB               0   43203C11
              -16              17               1              HB               0   43104011
              -16              17               2              HB               0   43204011
               -1              18               1              HB               0   43100412
               -2              18               1              HB               0   43100812
               -3              18               1              HB               0   43100C12
               -4              18               1              HB               0   43101012
               -5              18               1              HB               0   43101412
               -6              18               1              HB               0   43101812
               -7              18               1              HB               0   43101C12
               -8              18               1              HB               0   43102012
               -9              18               1              HB               0   43102412
              -10              18               1              HB               0   43102812
              -11              18               1              HB               0   43102C12
              -12              18               1              HB               0   43103012
              -13              18               1              HB               0   43103412
              -14              18               1              HB               0   43103812
              -15              18               1              HB               0   43103C12
              -15              18               2              HB               0   43203C12
              -16              18               1              HB               0   43104012
              -16              18               2              HB               0   43204012
               -1              19               1              HB               0   43100413
               -2              19               1              HB               0   43100813
               -3              19               1              HB               0   43100C13
               -4              19               1              HB               0   43101013
               -5              19               1              HB               0   43101413
               -6              19               1              HB               0   43101813
               -7              19               1              HB               0   43101C13
               -8              19               1              HB               0   43102013
               -9              19               1              HB               0   43102413
              -10              19               1              HB               0   43102813
              -11              19               1              HB               0   43102C13
              -12              19               1              HB               0   43103013
              -13              19               1              HB               0   43103413
              -14              19               1              HB               0   43103813
              -15              19               1              HB               0   43103C13
              -15              19               2              HB               0   43203C13
              -16              19               1              HB               0   43104013
              -16              19               2              HB               0   43204013
               -1              20               1              HB               0   43100414
               -2              20               1              HB               0   43100814
               -3              20               1              HB               0   43100C14
               -4              20               1              HB               0   43101014
               -5              20               1              HB               0   43101414
               -6              20               1              HB               0   43101814
               -7              20               1              HB               0   43101C14
               -8              20               1              HB               0   43102014
